ELO,win_rate,model
1679.19122393601,0.6805251641137856,142
1678.4570691677868,0.6813574261789335,141
1668.1858484530458,0.6638468388245771,108
1659.1826520513905,0.6554661618551822,95
1655.3639952785263,0.6752015173067805,150
1649.0661805775171,0.6663511594888784,105
1648.1513390572843,0.6737657308809293,127
1646.0609333442262,0.6795149415331312,147
1643.477763428906,0.6583143507972665,106
1629.3737126522024,0.653966831017481,100
1616.9897238975957,0.6563318777292576,156
1616.1975527723698,0.648487626031164,96
1595.414328167405,0.6530612244897959,115
1594.291904302408,0.6694796061884669,109
1590.0074240747022,0.5916978564137462,87
1561.246995432902,0.5773373545885394,82
1471.6233129643506,0.5082619339045288,114
1468.9602902689244,0.4616846105129829,54
1462.8466729765898,0.47628524046434495,52
1448.4504626828339,0.49411210551106927,28
1430.6790523781237,0.4068241469816273,38
1418.2214991414467,0.44114636642784033,44
1412.7255767516515,0.5240295748613678,55
1410.9522208536257,0.4799465240641711,42
1386.8214545282694,0.35104,33
1383.4420670793638,0.4183417085427136,47
1333.4651167865566,0.31261595547309834,27
1287.903469391599,0.2824601366742597,23
1196.3281386448318,0.18116619893981914,3
1158.363280767049,0.15384615384615385,6
1095.923566771737,0.2064703744093057,0
